timestamp,sensor,data
1751517488.613953,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.632973,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.653507,attitude,"(-5.71, -1.4, 1.98)"
1751517488.673514,position,"(0.60348, -0.06887, 0.0)"
1751517488.6935127,imu,"(-0.00775, 0.0913, -1.01663, 0.00834, 0.01255, 0.72598)"
1751517488.7135093,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.7355251,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.7930536,imu,"(-0.04469, -0.02969, -1.01903, -0.00603, -0.02929, 0.66096)"
1751517488.8130546,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.8330665,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.8536046,attitude,"(2.0, -1.74, 1.84)"
1751517488.873605,position,"(0.59983, -0.06797, 0.0)"
1751517488.8935885,imu,"(0.01388, -0.00314, -1.02191, -0.00175, -0.00306, 0.68359)"
1751517488.9138694,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517488.933972,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517488.9936526,imu,"(0.02987, -0.01097, -1.01689, 0.00473, -0.00249, 0.74605)"
1751517489.0141833,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.0338075,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.053447,attitude,"(10.27, -2.02, 1.54)"
1751517489.0736113,position,"(0.60071, -0.06805, 0.0)"
1751517489.0940123,imu,"(-0.00148, 0.0141, -1.01988, 0.00312, -0.00759, 0.77556)"
1751517489.1164663,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517489.1534674,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517489.213606,imu,"(-0.02186, -0.00292, -1.01926, -0.0029, -0.00214, 0.78764)"
